sku,tp,final_mrp_old,margin
Os273_2XL,680.00,2795.00,2115.00
Os273_3XL,680.00,2795.00,2115.00
Os272_S,680.00,2795.00,2115.00
Os272_M,680.00,2795.00,2115.00
Os272_L,680.00,2795.00,2115.00
Os272_XL,680.00,2795.00,2115.00
Os272_2XL,680.00,2795.00,2115.00
Os272_3XL,680.00,2795.00,2115.00
Os271_S,680.00,2795.00,2115.00
Os271_M,680.00,2795.00,2115.00
Os271_L,680.00,2795.00,2115.00
Os271_XL,680.00,2795.00,2115.00
Os271_2XL,680.00,2795.00,2115.00
Os271_3XL,680.00,2795.00,2115.00
Os270_S,680.00,2795.00,2115.00
Os270_M,680.00,2795.00,2115.00
Os270_L,680.00,2795.00,2115.00
Os270_XL,680.00,2795.00,2115.00
Os270_2XL,680.00,2795.00,2115.00
Os270_3XL,680.00,2795.00,2115.00
Os135_14274_S,695.00,2795.00,2100.00
Os135_14274_M,695.00,2795.00,2100.00
Os135_14274_L,695.00,2795.00,2100.00
Os135_14274_XL,695.00,2795.00,2100.00
Os135_14274_2XL,695.00,2795.00,2100.00
Os137_14380_S,695.00,2795.00,2100.00
Os137_14380_M,695.00,2795.00,2100.00
Os137_14380_L,695.00,2795.00,2100.00
Os137_14380_XL,695.00,2795.00,2100.00
Os137_14380_2XL,695.00,2795.00,2100.00
Os138_14206_S,695.00,2795.00,2100.00
Os138_14206_M,695.00,2795.00,2100.00
Os138_14206_L,695.00,2795.00,2100.00
Os138_14206_XL,695.00,2795.00,2100.00
Os138_14206_2XL,695.00,2795.00,2100.00
Os139_14275_S,695.00,2795.00,2100.00
Os139_14275_M,695.00,2795.00,2100.00
Os139_14275_L,695.00,2795.00,2100.00
Os139_14275_XL,695.00,2795.00,2100.00
Os139_14275_2XL,695.00,2795.00,2100.00
Os276KR_S,490.00,2495.00,2005.00
Os276KR_M,490.00,2495.00,2005.00
Os276KR_L,490.00,2495.00,2005.00
Os276KR_XL,490.00,2495.00,2005.00
Os276KR_2XL,490.00,2495.00,2005.00
Os276KR_3XL,490.00,2495.00,2005.00
Os1075_S,550.00,2495.00,1945.00
Os1075_M,550.00,2495.00,1945.00
Os1075_L,550.00,2495.00,1945.00
Os1075_XL,550.00,2495.00,1945.00
Os1075_2XL,550.00,2495.00,1945.00
Os1075_3XL,550.00,2495.00,1945.00
Os278KR_S,460.00,2397.00,1937.00
Os278KR_M,460.00,2397.00,1937.00
Os278KR_L,460.00,2397.00,1937.00
Os278KR_XL,460.00,2397.00,1937.00
Os278KR_2XL,460.00,2397.00,1937.00
Os278KR_3XL,460.00,2397.00,1937.00
Os228_1432_S,590.00,2495.00,1905.00
Os228_1432_M,590.00,2495.00,1905.00
Os228_1432_L,590.00,2495.00,1905.00
Os228_1432_XL,590.00,2495.00,1905.00
Os228_1432_2XL,590.00,2495.00,1905.00
Os228_1432_3XL,590.00,2495.00,1905.00
Os227_1437_S,590.00,2495.00,1905.00
Os227_1437_M,590.00,2495.00,1905.00
Os227_1437_L,590.00,2495.00,1905.00
Os227_1437_XL,590.00,2495.00,1905.00
Os227_1437_2XL,590.00,2495.00,1905.00
Os227_1437_3XL,590.00,2495.00,1905.00
OS224_1433_S,590.00,2495.00,1905.00
OS224_1433_M,590.00,2495.00,1905.00
OS224_1433_L,590.00,2495.00,1905.00
OS224_1433_XL,590.00,2495.00,1905.00
OS224_1433_2XL,590.00,2495.00,1905.00
OS224_1433_3XL,590.00,2495.00,1905.00
Os232_1431_S,590.00,2495.00,1905.00
Os232_1431_M,590.00,2495.00,1905.00
Os232_1431_L,590.00,2495.00,1905.00
Os232_1431_XL,590.00,2495.00,1905.00
Os232_1431_2XL,590.00,2495.00,1905.00
Os232_1431_3XL,590.00,2495.00,1905.00
Os226_1436_S,590.00,2495.00,1905.00
Os226_1436_M,590.00,2495.00,1905.00
Os226_1436_L,590.00,2495.00,1905.00
Os226_1436_XL,590.00,2495.00,1905.00
Os226_1436_2XL,590.00,2495.00,1905.00
Os226_1436_3XL,590.00,2495.00,1905.00
Os230_1438_S,590.00,2495.00,1905.00
Os230_1438_M,590.00,2495.00,1905.00
Os230_1438_L,590.00,2495.00,1905.00
Os230_1438_XL,590.00,2495.00,1905.00
Os230_1438_2XL,590.00,2495.00,1905.00
Os230_1438_3XL,590.00,2495.00,1905.00
Os225_1434_S,590.00,2495.00,1905.00
Os225_1434_M,590.00,2495.00,1905.00
Os225_1434_L,590.00,2495.00,1905.00
Os225_1434_XL,590.00,2495.00,1905.00
Os225_1434_2XL,590.00,2495.00,1905.00
Os225_1434_3XL,590.00,2495.00,1905.00
Os229_1435_S,590.00,2495.00,1905.00
Os229_1435_M,590.00,2495.00,1905.00
Os229_1435_L,590.00,2495.00,1905.00
Os229_1435_XL,590.00,2495.00,1905.00
Os229_1435_2XL,590.00,2495.00,1905.00
Os229_1435_3XL,590.00,2495.00,1905.00
Os178_1115_S,595.00,2495.00,1900.00
Os178_1115_M,595.00,2495.00,1900.00
Os178_1115_L,595.00,2495.00,1900.00
Os178_1115_XL,595.00,2495.00,1900.00
Os178_1115_2XL,595.00,2495.00,1900.00
Os178_1115_3XL,595.00,2495.00,1900.00
Os203_1100_S,529.00,2395.00,1866.00
Os203_1100_M,529.00,2395.00,1866.00
Os203_1100_L,529.00,2395.00,1866.00
Os203_1100_XL,529.00,2395.00,1866.00
