sku,amazon_mrp,flipkart_mrp,myntra_mrp,price_gap
Os146_M,1795.00,1895.00,1795.00,100.00
Os146_L,1795.00,1895.00,1795.00,100.00
Os146_XL,1795.00,1895.00,1795.00,100.00
Os151_S,1895.00,1995.00,1995.00,100.00
Os151_M,1895.00,1995.00,1995.00,100.00
Os151_L,1895.00,1995.00,1995.00,100.00
Os151_XL,1895.00,1995.00,1995.00,100.00
Os151_2XL,1895.00,1995.00,1995.00,100.00
Os151_3XL,1895.00,1995.00,1995.00,100.00
Os282_S,3295.00,3295.00,3197.00,98.00
Os282_M,3295.00,3295.00,3197.00,98.00
Os282_L,3295.00,3295.00,3197.00,98.00
Os282_XL,3295.00,3295.00,3197.00,98.00
Os282_2XL,3295.00,3295.00,3197.00,98.00
Os282_3XL,3295.00,3295.00,3197.00,98.00
Os285_XS,1595.00,1595.00,1597.00,2.00
Os285_S,1595.00,1595.00,1597.00,2.00
Os285_M,1595.00,1595.00,1597.00,2.00
Os285_L,1595.00,1595.00,1597.00,2.00
Os285_XL,1595.00,1595.00,1597.00,2.00
Os206_3141_S,2295.00,2295.00,2295.00,0.00
Os206_3141_M,2295.00,2295.00,2295.00,0.00
Os206_3141_L,2295.00,2295.00,2295.00,0.00
Os206_3141_XL,2295.00,2295.00,2295.00,0.00
Os206_3141_2XL,2295.00,2295.00,2295.00,0.00
Os206_3141_3XL,2295.00,2295.00,2295.00,0.00
Os223_3142_S,2295.00,2295.00,2295.00,0.00
Os223_3142_M,2295.00,2295.00,2295.00,0.00
Os223_3142_L,2295.00,2295.00,2295.00,0.00
Os223_3142_XL,2295.00,2295.00,2295.00,0.00
Os223_3142_2XL,2295.00,2295.00,2295.00,0.00
Os223_3142_3XL,2295.00,2295.00,2295.00,0.00
Os212_3143_S,2295.00,2295.00,2295.00,0.00
Os212_3143_M,2295.00,2295.00,2295.00,0.00
Os212_3143_L,2295.00,2295.00,2295.00,0.00
Os212_3143_XL,2295.00,2295.00,2295.00,0.00
Os212_3143_2XL,2295.00,2295.00,2295.00,0.00
Os212_3143_3XL,2295.00,2295.00,2295.00,0.00
Os214_3144_S,2295.00,2295.00,2295.00,0.00
Os214_3144_M,2295.00,2295.00,2295.00,0.00
Os214_3144_L,2295.00,2295.00,2295.00,0.00
Os214_3144_XL,2295.00,2295.00,2295.00,0.00
Os214_3144_2XL,2295.00,2295.00,2295.00,0.00
Os214_3144_3XL,2295.00,2295.00,2295.00,0.00
Os207_3145_S,2295.00,2295.00,2295.00,0.00
Os207_3145_M,2295.00,2295.00,2295.00,0.00
Os207_3145_L,2295.00,2295.00,2295.00,0.00
Os207_3145_XL,2295.00,2295.00,2295.00,0.00
Os207_3145_2XL,2295.00,2295.00,2295.00,0.00
Os207_3145_3XL,2295.00,2295.00,2295.00,0.00
Os202_3146_S,2295.00,2295.00,2295.00,0.00
Os202_3146_M,2295.00,2295.00,2295.00,0.00
Os202_3146_L,2295.00,2295.00,2295.00,0.00
Os202_3146_XL,2295.00,2295.00,2295.00,0.00
Os202_3146_2XL,2295.00,2295.00,2295.00,0.00
Os202_3146_3XL,2295.00,2295.00,2295.00,0.00
Os181_5051_S,1895.00,1895.00,1895.00,0.00
Os181_5051_M,1895.00,1895.00,1895.00,0.00
Os181_5051_L,1895.00,1895.00,1895.00,0.00
Os181_5051_XL,1895.00,1895.00,1895.00,0.00
Os181_5051_2XL,1895.00,1895.00,1895.00,0.00
Os181_5051_3XL,1895.00,1895.00,1895.00,0.00
Os191_5052_S,1895.00,1895.00,1895.00,0.00
Os191_5052_M,1895.00,1895.00,1895.00,0.00
Os191_5052_L,1895.00,1895.00,1895.00,0.00
Os191_5052_XL,1895.00,1895.00,1895.00,0.00
Os191_5052_2XL,1895.00,1895.00,1895.00,0.00
Os191_5052_3XL,1895.00,1895.00,1895.00,0.00
Os197_5053_S,1895.00,1895.00,1895.00,0.00
Os197_5053_M,1895.00,1895.00,1895.00,0.00
Os197_5053_L,1895.00,1895.00,1895.00,0.00
Os197_5053_XL,1895.00,1895.00,1895.00,0.00
Os197_5053_2XL,1895.00,1895.00,1895.00,0.00
Os197_5053_3XL,1895.00,1895.00,1895.00,0.00
OS219_5054_S,1895.00,1895.00,1895.00,0.00
OS219_5054_M,1895.00,1895.00,1895.00,0.00
OS219_5054_L,1895.00,1895.00,1895.00,0.00
OS219_5054_XL,1895.00,1895.00,1895.00,0.00
OS219_5054_2XL,1895.00,1895.00,1895.00,0.00
OS219_5054_3XL,1895.00,1895.00,1895.00,0.00
Os195_5055_S,1895.00,1895.00,1895.00,0.00
Os195_5055_M,1895.00,1895.00,1895.00,0.00
Os195_5055_L,1895.00,1895.00,1895.00,0.00
Os195_5055_XL,1895.00,1895.00,1895.00,0.00
Os195_5055_2XL,1895.00,1895.00,1895.00,0.00
Os195_5055_3XL,1895.00,1895.00,1895.00,0.00
Os189_5056_S,1895.00,1895.00,1895.00,0.00
Os189_5056_M,1895.00,1895.00,1895.00,0.00
Os189_5056_L,1895.00,1895.00,1895.00,0.00
Os189_5056_XL,1895.00,1895.00,1895.00,0.00
Os189_5056_2XL,1895.00,1895.00,1895.00,0.00
Os189_5056_3XL,1895.00,1895.00,1895.00,0.00
Os182_5057_S,1895.00,1895.00,1895.00,0.00
Os182_5057_M,1895.00,1895.00,1895.00,0.00
Os182_5057_L,1895.00,1895.00,1895.00,0.00
Os182_5057_XL,1895.00,1895.00,1895.00,0.00
Os182_5057_2XL,1895.00,1895.00,1895.00,0.00
Os182_5057_3XL,1895.00,1895.00,1895.00,0.00
Os209_5058_S,1895.00,1895.00,1895.00,0.00
Os209_5058_M,1895.00,1895.00,1895.00,0.00
Os209_5058_L,1895.00,1895.00,1895.00,0.00
Os209_5058_XL,1895.00,1895.00,1895.00,0.00
Os209_5058_2XL,1895.00,1895.00,1895.00,0.00
Os209_5058_3XL,1895.00,1895.00,1895.00,0.00
Os218_3151_S,2195.00,2195.00,2195.00,0.00
Os218_3151_M,2195.00,2195.00,2195.00,0.00
Os218_3151_L,2195.00,2195.00,2195.00,0.00
Os218_3151_XL,2195.00,2195.00,2195.00,0.00
Os218_3151_2XL,2195.00,2195.00,2195.00,0.00
Os218_3151_3XL,2195.00,2195.00,2195.00,0.00
Os201_3152_S,2195.00,2195.00,2195.00,0.00
Os201_3152_M,2195.00,2195.00,2195.00,0.00
Os201_3152_L,2195.00,2195.00,2195.00,0.00
Os201_3152_XL,2195.00,2195.00,2195.00,0.00
Os201_3152_2XL,2195.00,2195.00,2195.00,0.00
Os201_3152_3XL,2195.00,2195.00,2195.00,0.00
Os175_3153_S,2195.00,2195.00,2195.00,0.00
Os175_3153_M,2195.00,2195.00,2195.00,0.00
Os175_3153_L,2195.00,2195.00,2195.00,0.00
Os175_3153_XL,2195.00,2195.00,2195.00,0.00
Os175_3153_2XL,2195.00,2195.00,2195.00,0.00
Os175_3153_3XL,2195.00,2195.00,2195.00,0.00
Os220_3154_S,2195.00,2195.00,2195.00,0.00
Os220_3154_M,2195.00,2195.00,2195.00,0.00
Os220_3154_L,2195.00,2195.00,2195.00,0.00
Os220_3154_XL,2195.00,2195.00,2195.00,0.00
Os220_3154_2XL,2195.00,2195.00,2195.00,0.00
Os220_3154_3XL,2195.00,2195.00,2195.00,0.00
Os174_3155_S,2195.00,2195.00,2195.00,0.00
Os174_3155_M,2195.00,2195.00,2195.00,0.00
Os174_3155_L,2195.00,2195.00,2195.00,0.00
Os174_3155_XL,2195.00,2195.00,2195.00,0.00
Os174_3155_2XL,2195.00,2195.00,2195.00,0.00
Os174_3155_3XL,2195.00,2195.00,2195.00,0.00
Os222_3156_S,2195.00,2195.00,2195.00,0.00
Os222_3156_M,2195.00,2195.00,2195.00,0.00
Os222_3156_L,2195.00,2195.00,2195.00,0.00
Os222_3156_XL,2195.00,2195.00,2195.00,0.00
Os222_3156_2XL,2195.00,2195.00,2195.00,0.00
Os222_3156_3XL,2195.00,2195.00,2195.00,0.00
Os228_1432_S,2495.00,2495.00,2495.00,0.00
Os228_1432_M,2495.00,2495.00,2495.00,0.00
Os228_1432_L,2495.00,2495.00,2495.00,0.00
Os228_1432_XL,2495.00,2495.00,2495.00,0.00
Os228_1432_2XL,2495.00,2495.00,2495.00,0.00
Os228_1432_3XL,2495.00,2495.00,2495.00,0.00
Os227_1437_S,2495.00,2495.00,2495.00,0.00
Os227_1437_M,2495.00,2495.00,2495.00,0.00
Os227_1437_L,2495.00,2495.00,2495.00,0.00
Os227_1437_XL,2495.00,2495.00,2495.00,0.00
Os227_1437_2XL,2495.00,2495.00,2495.00,0.00
Os227_1437_3XL,2495.00,2495.00,2495.00,0.00
OS224_1433_S,2495.00,2495.00,2495.00,0.00
OS224_1433_M,2495.00,2495.00,2495.00,0.00
OS224_1433_L,2495.00,2495.00,2495.00,0.00
OS224_1433_XL,2495.00,2495.00,2495.00,0.00
OS224_1433_2XL,2495.00,2495.00,2495.00,0.00
OS224_1433_3XL,2495.00,2495.00,2495.00,0.00
Os232_1431_S,2495.00,2495.00,2495.00,0.00
Os232_1431_M,2495.00,2495.00,2495.00,0.00
Os232_1431_L,2495.00,2495.00,2495.00,0.00
Os232_1431_XL,2495.00,2495.00,2495.00,0.00
Os232_1431_2XL,2495.00,2495.00,2495.00,0.00
Os232_1431_3XL,2495.00,2495.00,2495.00,0.00
Os226_1436_S,2495.00,2495.00,2495.00,0.00
Os226_1436_M,2495.00,2495.00,2495.00,0.00
Os226_1436_L,2495.00,2495.00,2495.00,0.00
Os226_1436_XL,2495.00,2495.00,2495.00,0.00
Os226_1436_2XL,2495.00,2495.00,2495.00,0.00
Os226_1436_3XL,2495.00,2495.00,2495.00,0.00
Os230_1438_S,2495.00,2495.00,2495.00,0.00
Os230_1438_M,2495.00,2495.00,2495.00,0.00
Os230_1438_L,2495.00,2495.00,2495.00,0.00
Os230_1438_XL,2495.00,2495.00,2495.00,0.00
Os230_1438_2XL,2495.00,2495.00,2495.00,0.00
